"Task Aware Debugger for GDB" version 11.5.0 (202112141049)
(c) 2016-2021 NXP Semiconductors, Inc.
==================================
15:33:19.817 INFO: [TadModel] DSF session ID 0 has started.
15:33:34.945 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (RESUMED, USER_REQUEST)
15:33:35.29 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (SUSPENDED, SIGNAL)
15:33:36.786 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (RESUMED, USER_REQUEST)
15:33:36.993 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_SUSPENDED (SUSPENDED, BREAKPOINT)
15:33:40.977 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, USER_REQUEST)
15:33:58.996 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:34:27.190 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:34:27.624 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
15:34:28.690 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:34:29.95 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
15:34:36.460 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:34:36.886 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:34:59.459 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:00.31 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:01.626 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:02.202 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:02.892 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:03.468 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:04.00 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:04.570 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:04.734 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:05.285 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:05.797 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:06.372 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:06.995 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
15:35:07.577 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
15:35:20.616 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, USER_REQUEST)
15:35:20.827 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
